Date,Price,Open,High,Low,Vol
2013-02-21,113.53,115.2,115.31,113.32,248790.0
2013-02-22,114.1,113.6,114.79,113.6,173500.0
2013-02-25,114.44,114.19,115.87,113.31,190540.0
2013-02-26,112.71,113.64,114.34,112.41,257230.00000000003
2013-02-27,111.87,112.8,113.35,111.65,220010.0
2013-02-28,111.38,111.95,112.57,110.87,224450.0
2013-03-01,110.4,110.9,111.36,109.82,251900.0
2013-03-04,110.09,110.58,110.89,109.58,226780.0
2013-03-05,111.61,110.1,111.93,110.1,233650.0
2013-03-06,111.06,111.83,112.23,110.46,201770.0
2013-03-07,111.15,111.08,111.4,110.41,213070.0
2013-03-08,110.85,110.9,111.33,109.14,228950.0
2013-03-11,110.22,110.67,110.72,109.53,164820.0
2013-03-12,109.65,110.13,111.2,109.3,146000.0
2013-03-13,108.52,109.7,109.89,107.91,106230.0
2013-03-14,109.42,108.36,109.98,108.18,18270.0
2013-03-15,109.82,109.32,110.53,109.02,186110.0
2013-03-18,109.51,109.83,109.83,107.78,180930.0
2013-03-19,107.45,109.41,109.54,107.25,226680.0
2013-03-20,108.72,107.59,108.92,107.55,169060.0
2013-03-21,107.47,108.48,108.75,107.08,190900.0
2013-03-22,107.66,107.31,107.96,106.9,174360.0
2013-03-25,108.17,106.86,109.07,106.8,199230.0
2013-03-26,109.36,108.11,109.59,107.71,207410.0
2013-03-27,109.69,109.4,109.98,108.85,217520.0
2013-03-28,110.02,109.85,110.1,108.98,164970.0
2013-04-01,111.08,110.15,111.33,109.38,102140.0
2013-04-02,110.69,111.07,111.79,110.0,205640.0
2013-04-03,107.11,110.28,110.43,106.78,304650.0
2013-04-04,106.34,107.07,108.06,105.29,284410.0
2013-04-05,104.12,106.49,106.65,103.62,273970.0
2013-04-08,104.66,104.28,105.55,103.4,245680.0
2013-04-09,106.23,104.78,106.5,104.27,173290.0
2013-04-10,105.79,106.19,106.47,105.16,136060.0
2013-04-11,104.27,105.5,105.94,103.7,116870.0
2013-04-12,103.11,104.29,104.39,101.09,121490.0
2013-04-15,100.39,103.03,103.09,100.02,23650.0
2013-04-16,99.91,99.43,100.37,98.0,328740.0
2013-04-17,97.69,100.11,100.46,97.26,292120.0
2013-04-18,99.13,97.46,99.85,96.75,306940.0
2013-04-19,99.65,99.54,100.33,99.04,175360.0
2013-04-22,100.39,99.56,101.04,99.2,210040.0
2013-04-23,100.31,100.56,100.59,98.78,242740.0
2013-04-24,101.73,100.34,101.99,100.22,204010.0
2013-04-25,103.41,101.8,103.49,101.35,280400.0
2013-04-26,103.16,103.2,103.48,102.25,196480.0
2013-04-29,103.81,102.79,103.94,102.57,200110.0
2013-04-30,102.37,103.78,104.0,101.48,253920.0
2013-05-01,99.95,101.82,102.33,98.76,267100.0
2013-05-02,102.85,99.82,102.98,99.51,287670.0
2013-05-03,104.19,102.8,104.92,102.37,257170.00000000003
2013-05-06,105.46,104.25,105.54,103.89,135080.0
2013-05-07,104.4,105.4,105.94,104.0,264560.0
2013-05-08,104.34,104.11,104.8,103.53,229320.0
2013-05-09,104.47,104.44,104.6,103.45,197070.0
2013-05-10,103.91,104.35,104.45,101.56,215450.0
2013-05-13,102.82,103.26,103.86,102.25,173550.0
2013-05-14,102.6,102.82,103.1,101.96,160030.0
2013-05-15,103.68,102.7,103.82,101.2,106540.0
2013-05-16,103.8,103.74,104.4,102.95,26350.0
2013-05-17,104.64,103.87,104.87,103.35,193730.0
2013-05-20,104.8,104.75,105.31,103.83,164960.0
2013-05-21,103.91,104.78,105.15,103.51,179060.0
2013-05-22,102.6,103.52,103.79,102.22,207420.0
2013-05-23,102.44,102.25,102.68,100.64,230370.0
2013-05-24,102.64,102.55,102.79,101.65,136630.0
2013-05-27,102.62,102.52,102.65,102.1,21120.0
2013-05-28,104.23,102.51,104.69,102.48,195120.0
2013-05-29,102.43,104.32,104.37,102.17,209650.0
2013-05-30,102.19,102.4,102.85,101.08,232910.0
2013-05-31,100.39,102.12,102.38,100.03,215280.0
2013-06-03,102.06,100.15,102.48,99.66,255710.0
2013-06-04,103.24,102.02,103.58,101.47,300890.0
2013-06-05,103.04,103.48,104.07,102.85,202950.0
2013-06-06,103.61,102.94,103.95,102.81,173410.0
2013-06-07,104.56,103.65,105.01,102.89,234180.0
2013-06-10,103.95,104.56,104.76,103.66,159650.0
2013-06-11,102.96,103.89,103.89,101.82,156140.0
2013-06-12,103.49,102.56,104.1,102.23,94920.0
2013-06-13,104.25,103.33,104.26,102.75,21310.0
2013-06-14,105.93,104.95,106.64,104.46,197140.0
2013-06-17,105.47,105.77,106.67,105.28,160180.0
2013-06-18,106.02,105.66,106.24,105.11,150870.0
2013-06-19,106.12,106.1,106.59,105.45,164860.0
2013-06-20,102.15,105.62,105.62,101.75,301240.0
2013-06-21,100.91,102.1,103.09,100.04,263370.0
2013-06-24,101.16,100.61,101.64,99.67,254190.0
2013-06-25,101.26,101.0,102.08,100.7,182090.0
2013-06-26,101.66,101.1,101.89,100.25,195230.0
2013-06-27,102.82,101.66,103.34,101.66,190610.0
2013-06-28,102.16,102.76,103.44,101.87,230250.0
2013-07-01,103.0,101.9,103.71,101.63,230920.0
2013-07-02,104.0,102.92,104.12,102.91,186520.0
2013-07-03,105.76,104.18,106.03,104.18,258390.0
2013-07-04,105.54,105.85,105.99,104.91,81370.0
2013-07-05,107.72,105.54,107.88,105.38,233340.0
2013-07-08,107.43,108.0,108.04,106.79,185820.0
2013-07-09,107.81,107.27,108.26,106.85,163660.0
2013-07-10,108.51,108.12,108.69,107.71,199700.0
2013-07-11,107.73,108.24,108.93,107.02,184690.0
2013-07-12,108.81,107.33,109.14,107.28,127810.0
2013-07-15,109.09,108.99,109.26,107.96,100860.0
2013-07-16,109.4,109.05,109.72,108.63,19970.0
2013-07-17,108.61,107.9,108.74,107.3,183570.0
2013-07-18,108.7,108.63,108.87,108.03,196440.0
2013-07-19,108.07,108.73,109.18,107.01,212190.0
2013-07-22,108.15,108.3,108.68,107.55,198420.0
2013-07-23,108.42,108.3,108.63,107.56,190200.0
2013-07-24,107.19,108.44,108.6,106.25,197800.0
2013-07-25,107.65,107.11,107.87,106.54,176110.0
2013-07-26,107.17,107.59,107.79,106.53,119940.0
2013-07-29,107.45,107.19,107.89,106.6,178930.0
2013-07-30,106.91,107.45,107.56,106.54,160000.0
2013-07-31,107.7,106.84,107.95,105.73,222570.0
2013-08-01,109.54,107.81,109.64,107.52,234850.0
2013-08-02,108.95,109.52,110.09,108.38,160760.0
2013-08-05,108.7,109.09,109.44,107.55,168830.0
2013-08-06,108.18,108.74,109.23,107.46,229160.0
2013-08-07,107.44,108.07,108.16,107.07,208430.0
2013-08-08,106.68,107.39,107.86,105.85,175730.0
2013-08-09,108.22,106.81,108.32,106.6,148430.0
2013-08-12,108.97,108.13,109.13,107.43,147830.0
2013-08-13,109.82,109.08,110.06,108.95,112230.0
2013-08-14,110.2,109.51,110.36,109.05,97930.0
2013-08-15,111.11,110.35,111.53,110.35,19270.0
2013-08-16,110.4,109.42,110.7,109.17,195850.0
2013-08-19,109.9,110.53,111.0,109.59,188060.0
2013-08-20,110.15,109.67,110.73,108.61,233190.0
2013-08-21,109.81,110.11,110.28,109.23,195770.0
2013-08-22,109.9,109.7,110.15,109.4,154990.0
2013-08-23,111.04,109.9,111.23,109.77,219410.0
2013-08-26,110.73,111.15,111.68,110.5,92720.0
2013-08-27,114.36,111.16,115.29,110.73,288710.0
2013-08-28,116.61,115.3,117.34,114.81,286090.0
2013-08-29,115.16,115.86,117.04,114.18,248520.0
2013-08-30,114.01,114.2,115.53,113.63,245060.0
2013-09-02,114.33,114.0,114.57,112.2,90950.0
2013-09-03,115.68,114.45,116.0,114.06,234730.0
2013-09-04,114.91,115.65,116.09,114.4,209650.0
2013-09-05,115.26,114.95,115.55,114.29,151290.0
2013-09-06,116.12,115.35,116.56,115.02,168830.0
2013-09-09,113.72,115.93,116.18,113.0,200570.0
2013-09-10,111.25,113.0,113.55,110.59,176160.0
2013-09-11,111.5,111.52,112.49,111.02,109340.0
2013-09-12,112.63,111.51,113.05,111.33,93450.0
2013-09-13,112.78,112.87,112.91,111.6,18640.0
2013-09-16,110.07,111.25,111.49,108.73,249440.0
2013-09-17,108.19,109.5,110.0,107.41,214350.0
2013-09-18,110.6,107.85,111.06,107.64,200710.0
2013-09-19,108.76,110.92,111.26,108.52,201580.0
2013-09-20,109.22,108.62,109.67,108.4,160650.0
2013-09-23,108.16,109.22,109.45,107.76,169120.0
2013-09-24,108.64,107.96,108.9,107.43,197990.0
2013-09-25,108.32,108.73,110.09,107.89,211600.0
2013-09-26,109.21,108.0,109.26,108.0,143120.0
2013-09-27,108.63,109.0,109.67,108.1,190350.0
2013-09-30,108.37,108.2,108.68,107.22,149040.0
2013-10-01,107.94,108.38,108.41,106.81,189680.0
2013-10-02,109.19,107.55,109.48,107.44,177150.0
2013-10-03,109.0,108.9,109.85,108.58,212250.0
2013-10-04,109.46,108.69,109.77,108.61,144470.0
2013-10-07,109.68,109.21,110.17,107.89,227740.0
2013-10-08,110.16,109.64,110.8,109.38,163850.0
2013-10-09,109.06,110.16,110.25,108.12,171140.0
2013-10-10,111.8,109.04,112.0,108.92,212360.0
2013-10-11,111.28,111.65,111.85,110.51,141370.0
2013-10-14,111.04,110.87,111.41,109.87,106790.0
2013-10-15,109.96,111.08,111.27,109.53,93750.0
2013-10-16,110.86,109.45,111.23,109.45,15370.0
2013-10-17,109.11,110.57,110.66,108.71,233730.0
2013-10-18,109.94,109.13,110.24,108.95,181540.0
2013-10-21,109.64,109.96,110.19,109.21,190110.0
2013-10-22,109.97,109.76,110.94,109.57,238660.0
2013-10-23,107.8,109.99,110.06,107.35,324610.0
2013-10-24,106.99,107.65,108.26,106.9,242320.0
2013-10-25,106.93,107.09,107.39,106.27,212280.0
2013-10-28,109.61,107.04,109.68,106.85,266180.0
2013-10-29,109.01,109.41,109.46,108.45,185010.0
2013-10-30,109.86,108.76,110.16,108.59,234600.0
2013-10-31,108.84,109.69,109.87,108.55,238840.0
2013-11-01,105.91,109.05,109.41,105.78,298580.0
2013-11-04,106.23,105.78,106.58,105.13,230570.0
2013-11-05,105.33,106.25,106.53,105.19,186820.0
2013-11-06,105.24,105.64,106.41,104.82,243840.0
2013-11-07,103.46,105.0,105.21,103.24,291120.0
2013-11-08,105.12,103.53,105.38,102.98,242700.0
2013-11-11,106.4,105.17,106.56,105.15,172680.0
2013-11-12,105.81,106.4,107.38,105.51,156690.0
2013-11-13,107.12,105.93,107.45,105.89,114000.0
2013-11-14,108.54,107.17,108.96,107.15,20850.0
2013-11-15,108.5,108.38,108.65,107.69,198640.0
2013-11-18,108.47,108.5,108.73,107.53,185490.0
2013-11-19,106.92,108.3,108.63,106.81,224430.0
2013-11-20,108.06,107.2,108.38,106.51,220190.0
2013-11-21,110.08,107.76,110.25,107.62,253960.0
2013-11-22,111.05,110.07,111.4,109.65,276250.0
2013-11-25,111.0,109.0,111.66,108.05,278780.0
2013-11-26,110.88,111.08,111.49,110.41,199750.0
2013-11-27,111.31,111.0,111.65,110.51,193980.0
2013-11-28,110.86,111.4,111.55,110.61,61680.0
2013-11-29,109.69,111.04,111.5,109.62,126880.0
2013-12-02,111.45,109.6,112.34,109.28,266980.0
2013-12-03,112.62,111.53,112.93,111.04,217610.0
2013-12-04,111.88,112.91,113.02,111.46,235350.0
2013-12-05,110.98,111.65,112.23,110.76,191810.0
2013-12-06,111.61,111.07,112.06,110.94,155520.0
2013-12-09,109.39,111.69,111.79,109.0,202960.0
2013-12-10,109.38,109.31,110.45,108.55,230620.0
2013-12-11,109.7,109.45,109.89,108.62,158720.0
2013-12-12,108.67,109.52,109.98,108.44,128310.0
2013-12-13,108.83,108.53,109.0,108.02,98100.0
2013-12-16,110.47,109.15,110.8,109.0,23610.0
2013-12-17,108.44,109.2,109.41,108.2,149780.0
2013-12-18,109.63,108.33,109.73,107.8,187960.0
2013-12-19,110.29,109.25,110.53,109.14,159790.0
2013-12-20,111.77,110.09,111.89,109.87,169480.0
2013-12-23,111.56,111.55,111.93,111.27,103720.0
2013-12-24,111.9,111.61,112.06,111.42,52160.0
2013-12-26,111.98,111.99,112.12,111.46,43620.0
2013-12-27,112.18,111.95,112.8,111.5,126910.0
2013-12-30,111.21,112.2,112.64,110.9,111070.0
2013-12-31,110.8,111.18,111.52,110.4,84990.0
2014-01-02,107.78,111.0,111.35,107.65,200650.0
2014-01-03,106.89,107.88,108.64,106.79,191130.0
2014-01-06,106.73,106.8,107.96,106.58,181820.0
2014-01-07,107.35,107.03,107.72,106.88,188200.0
2014-01-08,107.15,107.49,107.95,107.0,185540.0
2014-01-09,106.39,107.35,108.2,106.12,175370.0
2014-01-10,107.25,106.44,107.58,106.03,198570.0
2014-01-13,106.75,107.25,107.64,106.36,151800.0
2014-01-14,106.39,106.62,107.14,106.06,111280.0
2014-01-15,107.13,106.17,107.55,105.8,70780.0
2014-01-16,107.09,106.82,107.35,106.44,14560.0
2014-01-17,106.48,105.55,106.95,105.44,198420.0
2014-01-20,106.35,106.28,106.65,105.81,103660.0
2014-01-21,106.73,106.35,108.0,106.28,254310.0
2014-01-22,108.27,106.9,108.33,106.78,184000.0
2014-01-23,107.58,108.14,108.28,107.37,241800.0
2014-01-24,107.88,107.58,108.03,106.23,244560.0
2014-01-27,106.69,107.91,108.09,106.45,203300.0
2014-01-28,107.41,106.86,107.79,106.76,188300.0
2014-01-29,107.85,107.36,108.05,106.93,207310.0
2014-01-30,107.95,107.85,108.4,107.65,188730.0
2014-01-31,106.4,107.75,107.94,106.3,231460.0
2014-02-03,106.04,106.4,106.72,105.4,264730.0
2014-02-04,105.78,105.85,106.23,105.49,186440.0
2014-02-05,106.25,106.09,106.44,105.58,193780.0
2014-02-06,107.19,106.28,107.48,106.15,205080.0
2014-02-07,109.57,107.32,109.74,106.88,215630.0
2014-02-10,108.63,109.75,109.75,108.4,162660.0
2014-02-11,108.68,108.52,109.24,108.47,137260.0
2014-02-12,108.79,108.78,109.5,108.47,105890.0
2014-02-13,108.73,108.68,108.84,108.09,18080.0
2014-02-14,109.08,108.58,109.25,107.85,146750.0
2014-02-17,109.18,109.13,109.4,108.64,56870.0
2014-02-18,110.46,109.07,110.7,108.84,150350.0
2014-02-19,110.47,110.55,110.82,110.02,163340.0
2014-02-20,110.3,110.39,110.49,109.58,151210.0
2014-02-21,109.85,110.5,110.5,109.35,154900.0
2014-02-24,110.64,109.65,110.77,109.5,202520.0
2014-02-25,109.51,110.64,110.64,109.42,198160.0
2014-02-26,109.52,109.56,109.97,109.2,186710.0
2014-02-27,108.96,109.41,109.45,108.65,192910.0
2014-02-28,109.07,108.85,109.34,108.4,189560.0
2014-03-03,111.2,109.44,112.39,109.26,291310.0
2014-03-04,109.3,111.16,111.32,109.0,218500.0
2014-03-05,107.76,109.17,109.36,107.55,220180.0
2014-03-06,108.1,107.66,108.54,107.37,228720.0
2014-03-07,109.0,108.3,109.09,107.82,172050.0
2014-03-10,108.08,108.73,108.85,107.75,149340.0
2014-03-11,108.55,107.88,108.7,107.83,146850.0
2014-03-12,108.02,108.41,108.55,107.61,159230.0
2014-03-13,107.39,108.26,108.51,106.98,86260.0
2014-03-14,108.57,107.25,108.69,107.24,12880.0
2014-03-17,106.24,108.55,108.6,106.16,166230.0
2014-03-18,106.79,106.4,106.85,105.85,170580.0
2014-03-19,105.85,106.6,106.87,105.71,188480.0
2014-03-20,106.45,105.9,106.75,105.41,205210.0
2014-03-21,106.92,106.22,107.77,106.01,167800.0
2014-03-24,106.81,107.01,107.5,106.45,142790.0
2014-03-25,106.99,106.59,107.48,106.44,167090.0
2014-03-26,107.03,106.97,107.35,106.48,166380.0
2014-03-27,107.83,107.0,107.99,106.77,184830.0
2014-03-28,108.07,107.73,108.39,107.62,140350.0
2014-03-31,107.76,108.0,108.33,107.05,145630.0
2014-04-01,105.62,107.66,107.8,105.1,195030.0
2014-04-02,104.79,105.32,105.85,103.95,271600.0
2014-04-03,106.15,104.59,106.32,104.45,220540.0
2014-04-04,106.72,106.17,107.04,106.1,184070.0
2014-04-07,105.82,106.35,106.63,105.13,215200.0
2014-04-08,107.67,105.97,107.85,105.78,193360.0
2014-04-09,107.98,107.5,108.14,107.12,144720.0
2014-04-10,107.46,107.9,107.92,107.26,124820.0
2014-04-11,107.33,107.35,107.87,106.98,105400.0
2014-04-14,109.07,107.42,109.12,107.26,95830.0
2014-04-15,108.74,108.92,109.11,108.27,19550.0
2014-04-16,109.6,109.43,110.36,109.0,229360.0
2014-04-17,109.53,109.6,110.19,109.08,163990.0
2014-04-21,109.95,109.76,110.05,108.89,71870.0
2014-04-22,109.27,109.94,109.99,108.53,201110.0
2014-04-23,109.11,109.5,109.54,108.6,181740.0
2014-04-24,110.33,109.22,110.65,109.07,215430.0
2014-04-25,109.58,110.33,110.63,109.25,216210.0
2014-04-28,108.12,109.5,110.2,107.86,246470.0
2014-04-29,108.98,108.13,109.37,108.0,206500.0
2014-04-30,108.07,108.8,108.8,107.55,213560.0
2014-05-01,107.76,108.08,108.12,106.85,186880.0
2014-05-02,108.59,107.72,108.99,107.6,215150.0
2014-05-05,107.72,108.92,108.92,107.05,139530.0
2014-05-06,107.06,107.53,108.21,106.97,194540.0
2014-05-07,108.13,107.17,108.25,106.96,217140.0
2014-05-08,108.04,108.07,108.15,107.38,163880.0
2014-05-09,107.89,108.08,109.02,107.64,179230.0
2014-05-12,108.41,107.94,108.77,107.94,145650.0
2014-05-13,109.24,108.37,109.46,108.05,130639.99999999999
2014-05-14,110.19,109.39,110.41,109.32,115260.0
2014-05-15,110.44,110.21,110.6,109.75,20370.0
2014-05-16,109.75,108.96,110.05,108.88,229930.0
2014-05-19,109.37,109.82,110.33,109.3,171710.0
2014-05-20,109.69,109.33,110.0,109.1,172790.0
2014-05-21,110.55,109.76,110.73,109.7,220000.0
2014-05-22,110.36,110.49,111.04,110.17,200090.0
2014-05-23,110.54,110.38,110.7,110.25,143660.0
2014-05-26,110.32,110.4,110.55,109.75,29310.0
2014-05-27,110.02,110.35,110.8,109.71,173410.0
2014-05-28,109.81,110.22,110.4,109.41,175310.0
2014-05-29,109.97,109.89,110.46,109.72,174680.0
2014-05-30,109.41,110.02,110.13,109.22,175050.0
2014-06-02,108.83,109.7,109.87,108.62,194250.0
2014-06-03,108.82,108.8,108.98,108.32,177670.0
2014-06-04,108.4,108.89,109.5,108.07,211090.0
2014-06-05,108.79,108.13,108.96,107.77,193330.0
2014-06-06,108.61,108.85,109.31,108.46,155000.0
2014-06-09,109.99,108.68,110.16,108.55,189210.0
2014-06-10,109.52,109.95,110.32,109.1,214920.0
2014-06-11,109.95,109.61,110.25,109.44,131570.0
2014-06-12,113.02,110.09,113.34,110.0,133070.0
2014-06-13,113.41,113.75,114.69,112.75,16050.0
2014-06-16,112.94,112.73,113.28,112.33,175900.0
2014-06-17,113.45,112.97,113.8,112.16,240520.0
2014-06-18,114.26,113.46,114.54,113.05,240750.0
2014-06-19,115.06,114.22,115.71,114.15,250240.0
2014-06-20,114.81,114.92,115.11,114.43,198840.0
2014-06-23,114.12,114.99,115.66,113.86,220720.0
2014-06-24,114.46,113.9,114.83,113.55,230490.0
2014-06-25,114.0,114.31,114.65,113.23,211910.0
2014-06-26,113.21,114.24,114.29,113.0,180860.0
2014-06-27,113.3,113.07,113.71,112.9,135710.0
2014-06-30,112.36,113.3,113.3,112.16,221840.0
2014-07-01,112.29,112.5,112.83,111.85,229190.0
2014-07-02,111.24,112.19,112.42,110.92,269760.0
2014-07-03,111.0,111.0,111.17,110.53,218980.0
2014-07-04,110.64,111.05,111.29,110.56,71850.0
2014-07-07,110.24,110.65,110.92,109.88,152510.0
2014-07-08,108.94,110.0,110.16,108.69,232730.0
2014-07-09,108.28,108.97,109.0,108.12,173180.0
2014-07-10,108.67,108.15,108.88,107.76,152470.0
2014-07-11,106.66,108.58,108.74,106.27,171040.0
2014-07-14,106.98,106.42,107.5,106.21,99200.0
2014-07-15,106.02,106.81,106.9,104.39,63860.0
2014-07-16,105.85,105.9,106.58,105.72,11520.0
2014-07-17,107.89,107.13,108.6,106.8,296510.0
2014-07-18,107.24,108.5,108.62,106.94,210880.0
2014-07-21,107.68,107.15,107.87,106.79,211700.0
2014-07-22,107.33,107.8,108.4,106.83,183100.0
2014-07-23,108.03,106.87,108.25,106.87,207150.0
2014-07-24,107.07,108.15,108.21,106.83,179570.0
2014-07-25,108.39,107.2,108.46,106.73,253170.0
2014-07-28,107.57,108.3,108.38,107.01,139520.0
2014-07-29,107.72,107.46,108.05,107.13,176640.0
2014-07-30,106.51,107.5,107.86,105.84,218390.0
2014-07-31,106.02,106.06,106.59,105.41,234550.0
2014-08-01,104.84,105.6,106.12,104.39,216360.0
2014-08-04,105.41,104.82,105.71,104.52,207790.0
2014-08-05,104.61,105.5,105.65,104.07,209180.0
2014-08-06,104.59,104.88,105.44,104.54,204920.0
2014-08-07,105.44,104.64,105.92,104.16,189820.0
2014-08-08,105.02,105.67,106.85,104.67,203740.0
2014-08-11,104.68,105.0,105.43,104.35,143610.0
2014-08-12,103.02,104.5,104.61,102.65,139910.0
2014-08-13,104.28,102.84,104.35,102.37,99100.0
2014-08-14,102.01,104.06,104.33,101.92,18570.0
2014-08-15,103.53,102.05,103.76,102.05,199630.0
2014-08-18,101.6,103.21,103.3,101.11,181100.0
2014-08-19,101.56,101.62,102.07,101.07,177100.0
2014-08-20,102.28,101.5,102.37,101.44,166190.0
2014-08-21,102.63,102.14,102.79,101.21,179610.0
2014-08-22,102.29,102.67,102.83,102.0,132510.0
2014-08-25,102.65,102.1,102.82,101.65,82940.0
2014-08-26,102.5,102.71,103.4,102.35,149830.0
2014-08-27,102.72,102.42,103.07,102.05,146230.0
2014-08-28,102.46,102.54,103.2,102.25,184780.0
2014-08-29,103.19,102.51,103.3,102.49,169330.0
2014-09-01,102.79,102.95,103.3,102.56,73330.0
2014-09-02,100.34,102.64,102.86,100.17,243850.0
2014-09-03,102.77,100.4,103.13,100.4,233640.0
2014-09-04,101.83,102.41,102.95,101.7,218440.0
2014-09-05,100.82,101.87,102.44,100.35,202140.0
2014-09-08,100.2,100.8,101.0,99.36,197610.0
2014-09-09,99.16,100.2,100.62,99.03,172500.0
2014-09-10,98.04,99.35,99.47,97.6,203280.0
2014-09-11,98.08,98.12,98.49,96.72,144790.0
2014-09-12,97.11,98.25,98.8,96.83,103490.0
2014-09-15,96.65,96.9,97.33,96.21,19950.0
2014-09-16,99.05,97.96,99.45,97.44,199770.0
2014-09-17,98.97,98.95,99.61,98.51,190170.0
2014-09-18,97.7,98.69,99.14,97.42,193580.0
2014-09-19,98.39,97.65,98.49,97.18,158390.0
2014-09-22,96.97,98.5,98.5,96.38,171140.0
2014-09-23,96.85,96.91,97.59,96.55,192360.0
2014-09-24,96.95,96.89,97.33,95.6,216740.0
2014-09-25,97.0,97.03,97.56,96.22,190330.0
2014-09-26,97.0,97.11,97.5,96.46,165600.0
2014-09-29,97.2,96.81,97.34,96.27,170230.0
2014-09-30,94.67,97.15,97.8,94.24,261950.0
2014-10-01,94.16,94.77,96.23,93.78,247990.0
2014-10-02,93.42,94.3,94.37,91.55,285900.0
2014-10-03,92.31,93.75,94.06,91.48,239600.0
2014-10-06,92.79,91.9,93.21,91.25,203600.0
2014-10-07,92.11,92.81,92.99,91.4,222630.0
2014-10-08,91.38,91.89,91.89,90.57,207630.0
2014-10-09,90.05,91.62,91.85,88.42,216470.0
2014-10-10,90.21,89.1,90.49,88.11,197680.0
2014-10-13,88.89,89.89,90.18,87.74,146530.0
2014-10-14,85.04,88.23,88.74,84.48,141660.0
2014-10-15,83.78,85.54,85.62,83.02,86480.0
2014-10-16,84.47,83.45,85.0,82.6,14940.0
2014-10-17,86.16,86.5,87.34,85.49,280470.0
2014-10-20,85.4,86.35,86.7,84.41,247600.0
2014-10-21,86.22,85.13,86.49,85.1,258390.0
2014-10-22,84.71,86.46,87.07,84.47,264810.0
2014-10-23,86.83,84.71,87.19,84.12,306980.0
2014-10-24,86.13,86.78,86.78,85.29,208220.0
2014-10-27,85.83,86.08,86.25,84.55,228440.0
2014-10-28,86.03,85.5,86.38,85.08,198860.0
2014-10-29,87.12,86.1,87.94,86.06,243840.0
2014-10-30,86.24,86.93,87.1,85.71,191880.0
2014-10-31,85.86,86.02,86.25,84.6,225370.0
2014-11-03,84.78,85.85,86.4,84.01,248170.0
2014-11-04,82.82,84.21,84.43,82.08,313670.0
2014-11-05,82.95,82.78,84.45,81.63,364450.0
2014-11-06,82.86,83.1,83.27,82.05,224780.0
2014-11-07,83.39,82.67,83.86,82.16,195440.0
2014-11-10,82.34,83.26,84.97,81.88,219910.0
2014-11-11,81.67,82.13,82.38,80.46,213420.0
2014-11-12,80.38,81.25,81.65,79.72,116120.0
2014-11-13,77.92,79.97,80.2,77.83,21790.0
2014-11-14,79.41,77.67,79.75,76.76,267610.0
2014-11-17,79.31,79.5,79.6,77.94,189080.0
2014-11-18,78.47,79.01,79.95,78.21,209550.0
2014-11-19,78.1,78.41,79.45,78.04,247150.0
2014-11-20,79.33,78.16,79.95,77.56,206380.0
2014-11-21,80.36,79.95,81.61,79.07,264610.0
2014-11-24,79.68,80.5,80.85,79.4,151150.0
2014-11-25,78.33,79.45,80.44,78.05,256829.99999999997
2014-11-26,77.75,78.28,78.86,77.3,202190.0
2014-11-27,72.58,77.4,77.46,71.25,244650.0
2014-11-28,70.15,72.58,73.41,69.78,262029.99999999997
2014-12-01,72.54,70.15,73.02,67.53,369850.0
2014-12-02,70.54,72.51,73.03,70.4,252520.0
2014-12-03,69.92,70.95,71.46,69.5,244860.0
2014-12-04,69.64,70.15,70.6,68.81,190550.0
