Date,Price,Open,High,Low,Vol,Change,Forecasted_Volatility
02/22/2024,83.67,83.2,83.96,82.33,275280.0,0.77,1.3427165316963574
02/21/2024,83.03,82.5,83.17,81.66,305180.0,0.84,1.2693072099414913
02/20/2024,82.34,83.24,83.63,82.05,297030.0,-1.46,1.2060651155811077
02/19/2024,83.56,83.28,83.6,82.55,185060.0,0.11,1.2235166024728896
02/16/2024,83.47,82.79,83.66,81.89,337060.0,0.74,1.1433753890019054
02/15/2024,82.86,81.42,83.25,80.72,330450.0,1.54,1.0948559592694114
02/14/2024,81.6,82.6,83.6,81.39,344360.0,-1.41,1.1401842201579462
02/13/2024,82.77,82.0,83.24,81.96,331800.0,0.94,1.1627795736822246
02/12/2024,82.0,81.94,82.19,80.77,246240.0,-0.23,1.130941151389426
02/09/2024,82.19,81.72,82.45,81.21,315320.0,0.69,1.0675171032242734
02/08/2024,81.63,79.3,81.9,79.03,436500.0,3.06,1.031868710640158
02/07/2024,79.21,78.7,79.5,78.49,291680.0,0.79,1.3512069538671299
02/06/2024,78.59,77.95,79.08,77.63,305610.0,0.77,1.2782845847292155
02/05/2024,77.99,77.9,78.33,76.62,293370.0,0.85,1.2175359901373093
02/02/2024,77.33,79.15,79.44,76.85,411750.0,-1.74,1.1665164114048723
02/01/2024,78.7,80.57,81.55,78.57,525770.0,-3.68,1.216821407771205
01/31/2024,81.71,82.94,82.94,81.59,14380.0,-1.4,1.6387872022657697
01/30/2024,82.87,82.62,83.3,81.34,89310.0,0.57,1.583804790054714
01/29/2024,82.4,84.13,84.8,82.03,129910.0,-1.38,1.4629003085944194
01/26/2024,83.55,82.44,83.81,81.31,240250.0,1.36,1.43043434115835
01/25/2024,82.43,80.31,82.57,80.06,248180.0,2.99,1.389658237245512
01/24/2024,80.04,79.56,80.73,79.05,230750.0,0.62,1.5770346823747177
01/23/2024,79.55,79.92,80.43,78.7,331100.0,-0.64,1.4655447042751393
01/22/2024,80.06,78.89,80.55,77.81,319710.0,1.91,1.3650631738641343
01/19/2024,78.56,79.1,79.73,78.32,282310.0,-0.68,1.391104325280663
01/18/2024,79.1,78.15,79.3,77.33,325290.0,1.57,1.307069337198425
01/17/2024,77.88,77.77,78.19,76.5,355400.0,-0.52,1.3067877434309003
01/16/2024,78.29,78.43,79.4,77.6,298550.0,0.18,1.227084367314988
01/15/2024,78.15,78.14,78.9,76.85,177690.0,-0.18,1.147549763504484
01/12/2024,78.29,78.75,80.75,77.96,401340.0,1.14,1.0797830980665017
01/11/2024,77.41,76.7,79.1,76.66,396770.0,0.79,1.0725415560215859
01/10/2024,76.8,77.48,78.73,76.38,353700.0,-1.02,1.038959503148619
01/09/2024,77.59,76.3,78.19,75.95,346790.0,1.93,1.0305387228665317
01/08/2024,76.12,78.7,78.95,75.26,342630.0,-3.35,1.129211569373451
01/05/2024,78.76,77.71,79.26,77.66,291000.0,1.51,1.486402245393963
01/04/2024,77.59,78.56,79.41,76.5,356650.0,-0.84,1.4437568006382828
01/03/2024,78.25,76.06,78.67,74.79,361770.0,3.11,1.3663420382832738
01/02/2024,75.89,77.39,79.06,75.6,338350.0,-1.49,1.5652066955705073
12/29/2023,77.04,77.38,77.98,76.73,192950.0,-1.72,1.5107599614841636
12/28/2023,78.39,79.8,79.95,78.25,18780.0,-1.58,1.484279538395633
12/27/2023,79.65,80.79,81.33,79.29,70390.0,-1.75,1.4655209906908573
12/26/2023,81.07,79.04,81.72,78.76,59740.0,2.53,1.4744980781462378
12/22/2023,79.07,79.35,80.37,78.88,119190.0,-0.4,1.5523230208745826
12/21/2023,79.39,79.0,80.13,77.81,193320.0,-0.39,1.4365283898914312
12/20/2023,79.7,79.17,80.6,79.07,241810.0,0.59,1.3325286297659364
12/19/2023,79.23,78.06,79.67,77.41,214680.0,1.64,1.2487830369028678
12/18/2023,77.95,76.8,79.51,75.76,279470.0,1.83,1.262310486902045
12/15/2023,76.55,76.66,77.23,75.29,223090.0,-0.08,1.29720368903384
12/14/2023,76.61,74.76,77.35,74.44,257519.99999999997,3.16,1.2069060397317624
12/13/2023,74.26,73.26,74.7,72.29,260180.0,1.39,1.4566616949206075
12/12/2023,73.24,76.17,76.66,72.86,310090.0,-3.67,1.4030412423851704
12/11/2023,76.03,75.73,76.5,75.01,212760.0,0.25,1.6782038354102071
12/08/2023,75.84,74.59,76.36,74.2,228450.0,2.42,1.5412658280863683
12/07/2023,74.05,74.5,75.48,73.6,297940.0,-0.34,1.5628735378119882
12/06/2023,74.3,77.12,77.65,74.11,385400.0,-3.76,1.4419415845845729
12/05/2023,77.2,78.1,79.09,77.0,352890.0,-1.06,1.7397859870905013
12/04/2023,78.03,79.5,79.72,77.52,388380.0,-1.08,1.632137074618762
12/01/2023,78.88,80.67,81.54,78.75,350250.0,-4.77,1.5468867061128417
11/30/2023,82.83,82.78,84.75,82.58,15080.0,-0.32,2.113603034489619
11/29/2023,83.1,81.91,83.25,80.96,98240.0,1.74,1.9300172473495303
11/28/2023,81.68,80.19,82.16,79.8,112500.0,2.13,1.829808379901846
11/27/2023,79.98,80.4,81.17,79.13,157360.0,-0.74,1.7970488610293929
11/24/2023,80.58,81.4,82.2,80.13,114140.0,-1.03,1.6591228769847322
11/23/2023,81.42,81.6,81.63,80.19,108320.0,-0.66,1.55632067441274
11/22/2023,81.96,82.47,82.65,78.41,367180.0,-0.59,1.4515367266422992
11/21/2023,82.45,82.13,82.54,81.43,238510.0,0.16,1.358144107201133
11/20/2023,82.32,80.3,82.94,79.58,248330.0,2.12,1.2601977443258396
11/17/2023,80.61,77.55,80.81,77.28,340030.0,4.12,1.3425106620884641
11/16/2023,77.42,80.98,81.17,76.6,441640.0,-4.63,1.7584536524788825
11/15/2023,81.18,82.39,83.04,80.79,299420.0,-1.56,2.1589081511486583
11/14/2023,82.47,82.71,83.97,82.06,248940.0,-0.06,2.025286712150534
11/13/2023,82.52,81.43,82.84,80.41,243300.0,1.34,1.84816964778101
11/10/2023,81.43,79.85,82.06,79.79,249550.0,1.77,1.736019864718196
11/09/2023,80.01,79.7,81.48,79.44,306110.0,0.59,1.682221643301871
11/08/2023,79.54,81.4,81.96,79.2,420700.0,-2.54,1.5554733336010784
11/07/2023,81.61,85.15,85.19,81.4,402760.0,-4.19,1.6386947292860987
11/06/2023,85.18,85.55,86.46,84.88,239230.0,0.34,2.058005511931611
11/03/2023,84.89,86.92,87.8,84.56,354850.0,-2.26,1.8763399451944327
11/02/2023,86.85,85.0,87.05,84.64,301870.0,2.62,1.8983871137887736
11/01/2023,84.63,85.45,87.24,84.58,321660.0,-3.18,1.9303022496179019
10/31/2023,87.41,87.9,88.61,87.4,13680.0,-0.05,2.080254505657861
10/30/2023,87.45,90.07,90.15,87.2,99040.0,-3.35,1.8951062480815688
10/27/2023,90.48,88.4,90.75,87.83,109140.0,2.9,2.1197029053397274
10/26/2023,87.93,89.92,90.4,87.53,198640.0,-2.44,2.158832205704407
10/25/2023,90.13,88.04,90.35,86.68,290910.0,2.34,2.157313995076068
10/24/2023,88.07,90.47,90.68,87.35,304120.0,-1.96,2.124598782283031
10/23/2023,89.83,92.11,92.45,89.62,282440.0,-2.53,2.0612573517735004
10/20/2023,92.16,93.23,93.79,91.66,272720.0,-0.24,2.0828332894803703
10/19/2023,92.38,91.35,93.48,89.57,309000.0,0.96,1.9016744060404902
10/18/2023,91.5,91.25,93.0,90.6,348190.0,1.78,1.7632513696001157
10/17/2023,89.9,89.91,91.0,88.88,252830.0,0.28,1.7275821330000445
10/16/2023,89.65,90.98,91.39,89.5,283250.0,-1.36,1.5869334381209128
10/13/2023,90.89,86.35,91.0,86.28,424710.0,5.69,1.5342688936096267
10/12/2023,86.0,85.53,87.64,85.18,370440.0,0.21,2.3599151016499236
10/11/2023,85.82,87.72,88.26,85.21,402310.0,-2.09,2.1443407312848564
10/10/2023,87.65,88.17,88.49,86.91,352110.0,-0.57,2.061179002597529
10/09/2023,88.15,86.45,89.0,86.0,412760.0,4.22,1.8900105076707179
10/06/2023,84.58,84.49,84.95,83.44,424460.0,0.61,2.1945129103407592
10/05/2023,84.07,85.88,86.52,83.84,510680.0,-2.03,2.0062675559790155
10/04/2023,85.81,91.04,91.21,85.75,525560.0,-5.62,1.9388170837003895
10/03/2023,90.92,90.4,91.56,89.5,437640.0,0.23,2.671130525486572
10/02/2023,90.71,92.18,93.33,90.35,423480.0,-4.83,2.420361085195812
09/29/2023,95.31,95.07,96.26,94.9,12840.0,-0.07,2.8792825748201114
09/28/2023,95.38,96.74,97.69,94.76,91450.0,-1.21,2.6063820790351175
09/27/2023,96.55,94.12,97.06,94.1,146720.0,2.76,2.4194249179920155
09/26/2023,93.96,93.28,94.21,91.8,169450.0,0.72,2.4094867252269254
09/25/2023,93.29,93.75,94.25,92.54,177620.0,0.02,2.2014042139782632
09/22/2023,93.27,93.37,94.64,92.8,240040.0,-0.03,2.0027519747503404
09/21/2023,93.3,93.08,94.6,92.2,314690.0,-0.25,1.8264833485079512
09/20/2023,93.53,94.49,94.72,92.76,330590.0,-0.86,1.673604341209347
09/19/2023,94.34,94.66,95.96,94.16,403400.0,-0.1,1.570335843867048
09/18/2023,94.43,94.28,94.95,93.79,337780.0,0.53,1.4461624074621864
09/15/2023,93.93,94.02,94.63,92.67,316900.0,0.25,1.3478299177039108
09/14/2023,93.7,92.04,94.21,92.02,310000.0,1.98,1.253418683681163
09/13/2023,91.88,92.04,92.84,91.63,302750.0,-0.2,1.3650798407126346
09/12/2023,92.06,90.62,92.4,90.52,336570.0,1.57,1.2677175802353307
09/11/2023,90.64,90.83,91.45,90.11,303420.0,-0.01,1.3087880003024976
09/08/2023,90.65,89.79,91.02,89.3,298140.0,0.81,1.2169430445468035
09/07/2023,89.92,90.81,90.89,89.46,213020.0,-0.75,1.1739884284186297
09/06/2023,90.6,90.12,91.1,89.25,282910.0,0.62,1.1333332971242853
09/05/2023,90.04,88.91,91.15,88.06,428450.0,1.17,1.086498188842029
09/04/2023,89.0,88.95,89.22,88.26,140670.0,0.51,1.0964713938117676
09/01/2023,88.55,86.82,88.99,86.74,380760.0,1.95,1.0487132892732565
08/31/2023,86.86,86.0,86.94,85.74,11270.0,1.16,1.1934170020170682
08/30/2023,85.86,85.62,86.23,85.11,86740.0,0.43,1.1839311174000975
08/29/2023,85.49,84.39,85.65,83.8,115360.0,1.27,1.120210846526902
08/28/2023,84.42,84.87,85.23,84.11,88350.0,-0.07,1.134664212694505
08/25/2023,84.48,83.26,84.97,82.67,230350.0,1.34,1.0667746126635347
08/24/2023,83.36,82.95,83.62,81.97,253840.0,0.18,1.0994625766809942
08/23/2023,83.21,83.99,84.26,81.94,361610.0,-0.98,1.0376501791507402
08/22/2023,84.03,84.46,84.66,83.85,287350.0,-0.51,1.0327558840602857
08/21/2023,84.46,84.8,85.86,84.31,289240.0,-0.4,0.9956907607510564
08/18/2023,84.8,83.88,85.08,83.33,287970.0,0.81,0.9603752253556033
08/17/2023,84.12,83.2,84.88,83.05,305580.0,0.8,0.9507676880803132
08/16/2023,83.45,85.2,85.36,83.13,334450.0,-1.7,0.9434672561285643
08/15/2023,84.89,86.12,86.68,84.29,305410.0,-1.53,1.0627349504644332
08/14/2023,86.21,86.53,86.71,85.5,267090.0,-0.69,1.132653591130418
08/11/2023,86.81,86.37,87.35,85.84,318060.0,0.47,1.0978306551957835
08/10/2023,86.4,87.39,88.1,86.2,337570.0,-1.31,1.04310848358483
08/09/2023,87.55,86.0,87.65,85.91,388300.0,1.6,1.0912920145706717
08/08/2023,86.17,85.79,86.34,83.32,375870.0,0.97,1.1560497290507985
08/07/2023,85.34,86.23,86.73,85.03,259620.0,-1.04,1.1270145506884937
08/04/2023,86.24,85.31,86.65,85.06,268750.0,1.29,1.1130865435073074
08/03/2023,85.14,83.46,85.41,82.36,392610.0,2.33,1.1303501119991488
08/02/2023,83.2,85.86,85.99,82.74,399190.0,-2.01,1.2944126142483392
08/01/2023,84.91,85.24,85.91,84.21,297770.0,-0.76,1.370152845201102
07/31/2023,85.56,84.95,85.8,84.4,16530.0,0.67,1.2941913341136466
07/28/2023,84.99,83.71,85.09,83.22,102840.0,0.89,1.218789683120791
07/27/2023,84.24,82.93,84.5,82.93,110650.0,1.59,1.1720189512547852
07/26/2023,82.92,83.19,83.85,82.58,173820.0,-0.86,1.2128319369686094
07/25/2023,83.64,82.85,83.87,82.22,234660.0,1.09,1.1667234385392917
07/24/2023,82.74,80.95,83.16,80.42,295100.0,2.06,1.1494601249741572
07/21/2023,81.07,79.78,81.24,79.65,294350.0,1.8,1.2522074023065046
07/20/2023,79.64,79.33,80.27,78.66,236410.0,0.23,1.297313804023188
07/19/2023,79.46,79.84,80.93,79.17,311440.0,-0.21,1.2100578993364897
07/18/2023,79.63,78.52,79.99,78.19,366470.0,1.44,1.1329227434031799
07/17/2023,78.5,79.36,80.64,78.25,341160.0,-1.72,1.1488425730178156
07/14/2023,79.87,81.64,81.7,79.53,311230.0,-1.83,1.2063379823648939
07/13/2023,81.36,80.19,81.75,79.88,416120.0,1.56,1.2698515890160451
07/12/2023,80.11,79.32,80.55,79.21,362330.0,0.89,1.2667284864171582
07/11/2023,79.4,77.82,79.5,77.63,333840.0,2.2,1.2074186090741321
07/10/2023,77.69,78.6,78.77,77.36,288400.0,-0.99,1.3147963413744568
07/07/2023,78.47,76.52,78.54,76.03,331530.0,2.55,1.2577228417308095
07/06/2023,76.52,76.7,77.09,75.03,430.0,-0.17,1.4003950177742501
07/05/2023,76.65,76.03,76.95,75.3,293740.0,0.52,1.2980449367178677
07/04/2023,76.25,74.89,76.29,74.74,157960.0,2.14,1.2192626255733412
07/03/2023,74.65,75.11,76.6,74.56,328000.0,-0.33,1.293629567531536
06/30/2023,74.9,74.22,75.4,74.21,14700.0,0.75,1.2075065499057358
06/29/2023,74.34,73.72,74.98,73.39,72870.0,0.42,1.1515819903442666
06/28/2023,74.03,72.62,74.2,71.57,91450.0,2.45,1.0866194984077386
06/27/2023,72.26,74.28,74.9,72.08,161150.0,-2.59,1.234034248037767
06/26/2023,74.18,74.5,74.85,73.42,150170.0,0.45,1.3721713680851486
06/23/2023,73.85,74.02,74.44,72.11,169540.0,-0.39,1.2786952650936607
06/22/2023,74.14,77.03,77.2,73.59,329530.0,-3.86,1.1995706704625082
06/21/2023,77.12,75.54,77.24,75.52,236550.0,1.61,1.6192676780543511
06/20/2023,75.9,76.12,77.15,74.51,276380.0,-0.25,1.5538394721175677
06/19/2023,76.09,76.4,76.93,75.34,141420.0,-0.68,1.435342916884341
06/16/2023,76.61,75.64,76.74,75.08,256250.0,1.24,1.3418914440080272
06/15/2023,75.67,73.41,75.97,72.91,260410.00000000003,3.37,1.2941080667103761
06/14/2023,73.2,74.05,75.49,73.03,318370.0,-1.47,1.5331522943258247
06/13/2023,74.29,72.11,74.66,71.94,321150.0,3.41,1.4713227869276568
06/12/2023,71.84,74.87,74.87,71.58,358500.0,-3.94,1.668019045765412
06/09/2023,74.79,75.53,76.57,74.71,260200.0,-1.54,1.9207233475206689
06/08/2023,75.96,76.8,77.68,73.58,393890.0,-1.29,1.8106179718303412
06/07/2023,76.95,76.22,77.64,75.51,325630.0,0.87,1.7132250414375452
06/06/2023,76.29,76.55,76.75,74.72,304580.0,-0.55,1.587223687378237
06/05/2023,76.71,77.68,78.73,76.31,384000.0,0.76,1.4714168515180397
06/02/2023,76.13,74.28,76.5,74.18,273540.0,2.49,1.3765374216179913
06/01/2023,74.28,72.15,75.25,72.03,349920.0,2.23,1.458730136222447
05/31/2023,72.66,73.6,73.81,71.39,20110.0,-1.2,1.489994126942357
05/30/2023,73.54,76.98,77.57,73.2,112180.0,-4.58,1.4122116068137387
05/29/2023,77.07,77.39,77.75,76.15,31550.0,0.16,1.8921935343663716
05/26/2023,76.95,76.09,77.35,75.73,150620.0,0.9,1.7286831668018714
05/25/2023,76.26,78.22,78.5,75.1,237720.0,-2.68,1.5990768981206085
05/24/2023,78.36,77.7,78.66,77.03,285990.0,1.98,1.6849474062102625
05/23/2023,76.84,76.15,77.74,75.65,287230.0,1.12,1.6510167904180102
05/22/2023,75.99,75.63,76.46,74.55,241960.0,0.54,1.545903926430371
05/19/2023,75.58,76.03,77.5,75.12,240530.0,-0.37,1.434123237244412
05/18/2023,75.86,76.78,76.99,75.5,232000.0,-1.43,1.3303397203763343
05/17/2023,76.96,74.67,77.31,74.1,297060.0,2.74,1.3098386091426002
05/16/2023,74.91,75.55,75.95,74.5,216200.0,-0.43,1.445574852804249
05/15/2023,75.23,74.15,75.75,73.49,240520.0,1.43,1.3431836067263039
05/12/2023,74.17,75.35,75.85,74.03,259220.00000000003,-1.08,1.3173985348651633
05/11/2023,74.98,76.62,77.41,74.61,345160.0,-1.87,1.2666087996699795
05/10/2023,76.41,77.36,77.6,75.68,311370.0,-1.33,1.3054377551481982
05/09/2023,77.44,76.71,77.5,75.07,283410.0,0.56,1.2870928800648191
05/08/2023,77.01,75.23,77.43,74.95,185750.0,2.27,1.2056519807815071
05/05/2023,75.3,72.69,75.75,72.41,265070.0,3.86,1.2988966834588895
05/04/2023,72.5,71.28,73.72,71.28,362230.0,0.24,1.628982570503732
05/03/2023,72.33,75.31,75.58,71.7,469620.0,-3.97,1.499401147303332
05/02/2023,75.32,79.28,79.78,75.07,383590.0,-5.03,1.791722787258927
05/01/2023,79.31,80.11,80.24,78.13,146560.0,-0.29,2.2736642710425556
04/28/2023,79.54,78.25,79.61,77.69,13300.0,1.49,2.072425448104036
04/27/2023,78.37,77.77,78.61,77.39,104390.0,0.88,1.9291336435810382
04/26/2023,77.69,80.92,81.47,77.46,172820.0,-3.81,1.7799666500431606
04/25/2023,80.77,82.59,83.06,80.35,209280.0,-2.37,2.018648710695387
04/24/2023,82.73,81.87,82.99,80.48,197900.0,1.31,1.9986414187890675
04/21/2023,81.66,80.79,82.05,80.45,196850.0,0.69,1.8579233366643004
04/20/2023,81.1,82.75,82.92,80.77,302900.0,-2.43,1.7088668439824377
04/19/2023,83.12,84.9,85.15,82.39,333220.0,-1.95,1.7506671364509165
04/18/2023,84.77,84.74,85.41,83.81,315700.0,0.01,1.7323834008494086
04/17/2023,84.76,86.43,86.52,84.34,261810.0,-1.8,1.5881402771333635
04/14/2023,86.31,86.18,86.87,85.53,262580.0,0.26,1.5922193856940323
04/13/2023,86.09,87.19,87.47,86.05,291940.0,-1.42,1.4660171206011647
04/12/2023,87.33,85.59,87.49,85.39,347800.0,2.01,1.4469316699804338
04/11/2023,85.61,84.24,85.67,83.75,262670.0,1.7,1.4893844451414233
04/10/2023,84.18,85.1,85.66,84.09,140530.0,-1.1,1.476330703129025
04/06/2023,85.12,84.89,85.45,84.05,259620.0,0.15,1.4067518944024024
04/05/2023,84.99,85.22,85.54,84.01,246480.0,0.06,1.3032349124030604
04/04/2023,84.94,84.89,86.04,83.82,308530.0,0.01,1.2120856322665083
04/03/2023,84.93,86.0,86.44,83.5,478310.0,6.47,1.1331838578723503
03/31/2023,79.77,79.19,79.8,78.54,6850.0,0.63,2.2644018323240034
03/30/2023,79.27,78.23,79.55,77.86,62920.0,1.26,2.068968868780596
03/29/2023,78.28,78.97,79.68,77.94,79540.0,-0.47,1.935685547454914
03/28/2023,78.65,78.23,79.2,77.54,145680.0,0.68,1.7729192858293723
03/27/2023,78.12,75.0,78.42,74.8,146950.0,4.17,1.6364344028324929
03/24/2023,74.99,75.53,76.32,72.68,156310.0,-1.21,1.927024863411443
03/23/2023,75.91,75.87,77.44,75.12,199640.0,-0.62,1.7933546526335
03/22/2023,76.38,74.9,76.79,74.26,244690.0,1.8,1.649148035861669
03/21/2023,75.03,73.44,75.12,72.62,297900.0,2.03,1.5953685685197503
03/20/2023,73.54,72.97,73.65,70.06,348710.0,1.06,1.5740905150243645
03/17/2023,72.77,74.3,75.59,71.38,477370.0,-2.05,1.481893350499187
03/16/2023,74.29,73.85,75.12,71.49,306200.0,1.38,1.4856835230437537
03/15/2023,73.28,77.3,78.26,71.3,576460.0,-5.38,1.4240894400370046
03/14/2023,77.45,80.54,80.92,76.89,357860.0,-4.11,2.1085906754608157
03/13/2023,80.77,82.6,83.48,78.34,467280.0,-2.43,2.324193841181957
03/10/2023,82.78,81.47,83.11,80.73,369280.0,1.46,2.2793640642152515
03/09/2023,81.59,82.55,84.0,81.42,282560.0,-1.29,2.1105638601182197
03/08/2023,82.66,83.03,83.59,82.06,297090.0,-0.76,1.9728506739854432
03/07/2023,83.29,86.23,86.75,82.83,295190.0,-3.35,1.816708123076061
03/06/2023,86.18,85.83,86.35,84.34,244340.0,0.41,2.021482534426068
03/03/2023,85.83,84.61,86.0,82.36,312900.0,1.27,1.8459846679798184
03/02/2023,84.75,84.31,85.1,83.83,214220.0,0.52,1.7293614002916802
03/01/2023,84.31,83.05,84.49,82.61,242660.0,0.5,1.5941288137000995
02/28/2023,83.89,82.3,84.15,82.19,12300.0,1.75,1.4757360948041938
02/27/2023,82.45,83.19,83.6,81.73,58850.0,-0.45,1.4719869582950873
02/24/2023,82.82,82.33,83.09,80.75,289760.0,1.06,1.3665454016957186
02/23/2023,81.95,80.31,82.46,80.25,293330.0,1.86,1.3129694092127953
02/22/2023,80.45,82.5,82.96,80.3,297260.0,-3.13,1.3483531680746552
02/21/2023,83.05,83.86,84.2,82.56,231630.0,-1.21,1.6045112851463728
02/20/2023,84.07,83.15,84.3,82.73,143850.0,1.29,1.5288101418759545
02/17/2023,83.0,84.6,84.87,81.8,303660.0,-2.51,1.4565644273469416
02/16/2023,85.14,85.27,86.21,84.6,197020.0,-0.28,1.5917521808622883
02/15/2023,85.38,85.2,85.85,83.88,245980.0,-0.23,1.4674846266205677
02/14/2023,85.58,85.83,86.42,84.13,231630.0,-1.19,1.3600531134241114
02/13/2023,86.61,86.51,86.95,85.1,207620.0,0.25,1.327941748537631
02/10/2023,86.39,84.22,86.9,83.93,297340.0,2.24,1.2354179463145143
02/09/2023,84.5,84.96,85.5,83.05,260730.00000000003,-0.69,1.3563125293883111
02/08/2023,85.09,84.11,85.15,83.51,254140.0,1.67,1.2787520010740139
02/07/2023,83.69,81.26,84.13,81.19,290980.0,3.33,1.3136579051787756
02/06/2023,80.99,79.61,81.43,79.1,325210.0,1.31,1.603842232370056
02/03/2023,79.94,82.27,84.2,79.62,330320.0,-2.71,1.5354757922120172
02/02/2023,82.17,83.34,83.61,81.25,287090.0,-0.81,1.6454483099860437
02/01/2023,82.84,85.56,86.21,82.37,348660.0,-1.95,1.5348916111450293
01/31/2023,84.49,85.18,85.25,83.73,11890.0,-0.48,1.5702138026331232
01/30/2023,84.9,86.88,87.48,84.66,65550.0,-2.03,1.4570029778974285
01/27/2023,86.66,87.65,88.95,85.69,107080.0,-0.93,1.5250674621620028
01/26/2023,87.47,86.35,88.01,85.74,139100.0,1.57,1.4457846994054215
01/25/2023,86.12,86.28,87.0,85.41,159470.0,-0.01,1.4231973462503522
01/24/2023,86.13,88.07,88.71,85.8,207750.0,-2.34,1.3166116979453737
01/23/2023,88.19,87.7,89.09,86.92,192410.0,0.64,1.4595588241205082
01/20/2023,87.63,86.42,87.79,85.58,212920.0,1.71,1.3626824548684835
01/19/2023,86.16,84.34,86.85,83.76,250960.0,1.39,1.3740672359368067
01/18/2023,84.98,86.45,87.85,84.36,288150.0,-1.09,1.3550670209080489
01/17/2023,85.92,84.2,86.82,84.04,238300.0,1.73,1.3056614431015754
01/16/2023,84.46,85.36,85.59,83.83,125960.0,-0.96,1.3403516527973045
01/13/2023,85.28,83.91,85.5,83.5,217400.0,1.49,1.288332656226761
01/12/2023,84.03,82.88,84.62,82.37,264070.0,1.65,1.2953829816583309
01/11/2023,82.67,79.52,83.0,79.31,273790.0,3.21,1.310642791722627
01/10/2023,80.1,79.54,80.89,78.81,244350.0,0.56,1.5834975525395172
01/09/2023,79.65,78.42,81.37,78.42,245120.0,1.37,1.469557952368388
01/06/2023,78.57,78.8,80.59,78.05,215420.0,-0.15,1.4275279839857473
01/05/2023,78.69,78.16,79.97,77.61,259579.99999999997,1.09,1.321089322296215
01/04/2023,77.84,82.31,82.72,77.72,319310.0,-5.19,1.271948541065575
01/03/2023,82.1,85.96,87.0,81.78,302860.0,-4.43,2.0438727772255216
12/30/2022,85.91,83.71,86.0,82.88,168650.0,4.44,2.3932698241063046
12/29/2022,82.26,82.88,83.14,81.28,10990.0,-1.2,2.55314154008992
12/28/2022,83.26,84.6,84.76,81.92,57560.0,-1.68,2.35443200684207
